inventory_id,product_id,branch_id,stock_quantity,reorder_level,max_stock_level,supplier_name,batch_number,expiry_date,warehouse_location,unit_cost,stock_value
INV-PRD0003-BR03,PRD0003,BR03,69,15,247,Sun Pharmaceuticals,BATCH479181,2025-03-29,WH-HYD-01,51.09,3525.21
INV-PRD0003-BR04,PRD0003,BR04,179,29,561,Sun Pharmaceuticals,BATCH619015,2026-11-09,WH-HYD-02,51.09,9145.11
INV-PRD0003-BR05,PRD0003,BR05,245,39,899,Sun Pharmaceuticals,BATCH955439,2025-01-10,WH-BLR-01,51.09,12517.05
INV-PRD0003-BR06,PRD0003,BR06,251,47,820,Sun Pharmaceuticals,BATCH392301,2025-03-15,WH-HYD-02,51.09,12823.59
INV-PRD0003-BR07,PRD0003,BR07,58,10,181,Sun Pharmaceuticals,BATCH874648,2026-02-19,WH-HYD-02,51.09,2963.22
INV-PRD0003-BR08,PRD0003,BR08,234,53,736,Sun Pharmaceuticals,BATCH553457,2026-10-22,WH-BLR-01,51.09,11955.06
INV-PRD0004-BR01,PRD0004,BR01,245,40,918,Abbott India,BATCH306861,2026-09-09,WH-HYD-02,44.1,10804.5
INV-PRD0004-BR02,PRD0004,BR02,266,43,1036,Abbott India,BATCH843920,2026-08-04,WH-BLR-01,44.1,11730.6
INV-PRD0004-BR03,PRD0004,BR03,110,17,435,Abbott India,BATCH146450,2025-01-29,WH-BLR-01,44.1,4851.0
INV-PRD0004-BR04,PRD0004,BR04,367,80,921,Abbott India,BATCH598970,2026-01-22,WH-HYD-02,44.1,16184.7
INV-PRD0004-BR05,PRD0004,BR05,31,5,89,Abbott India,BATCH870358,2026-07-07,WH-BLR-01,44.1,1367.1
INV-PRD0004-BR06,PRD0004,BR06,91,16,240,Abbott India,BATCH298468,2025-07-02,WH-CHN-01,44.1,4013.1
INV-PRD0004-BR07,PRD0004,BR07,92,21,263,Abbott India,BATCH760641,2025-01-07,WH-BLR-01,44.1,4057.2
INV-PRD0004-BR08,PRD0004,BR08,340,83,1052,Abbott India,BATCH120415,2025-07-21,WH-HYD-01,44.1,14994.0
INV-PRD0005-BR01,PRD0005,BR01,5,1,15,Dr. Reddy's Labs,BATCH242483,2026-12-13,WH-CHN-01,145.45,727.25
INV-PRD0005-BR02,PRD0005,BR02,27,4,98,Dr. Reddy's Labs,BATCH796666,2026-12-28,WH-HYD-01,145.45,3927.15
INV-PRD0005-BR03,PRD0005,BR03,274,52,691,Dr. Reddy's Labs,BATCH166601,2025-10-09,WH-HYD-01,145.45,39853.3
INV-PRD0005-BR04,PRD0005,BR04,203,41,721,Dr. Reddy's Labs,BATCH571059,2025-06-09,WH-HYD-01,145.45,29526.35
INV-PRD0005-BR05,PRD0005,BR05,12,2,45,Dr. Reddy's Labs,BATCH969721,2025-09-01,WH-BLR-01,145.45,1745.4
INV-PRD0005-BR06,PRD0005,BR06,360,88,1435,Dr. Reddy's Labs,BATCH992531,2025-09-20,WH-CHN-01,145.45,52362.0
INV-PRD0005-BR07,PRD0005,BR07,359,77,1321,Dr. Reddy's Labs,BATCH347851,2026-02-15,WH-CHN-01,145.45,52216.55
INV-PRD0005-BR08,PRD0005,BR08,318,77,1042,Dr. Reddy's Labs,BATCH650516,2026-01-05,WH-HYD-01,145.45,46253.1
INV-PRD0006-BR01,PRD0006,BR01,244,39,819,Cipla Ltd,BATCH630450,2026-05-08,WH-HYD-02,37.69,9196.36
INV-PRD0006-BR02,PRD0006,BR02,242,42,865,Cipla Ltd,BATCH838674,2025-05-09,WH-HYD-02,37.69,9120.98
INV-PRD0006-BR03,PRD0006,BR03,321,65,1161,Cipla Ltd,BATCH741458,2025-03-22,WH-CHN-01,37.69,12098.49
INV-PRD0006-BR04,PRD0006,BR04,23,5,81,Cipla Ltd,BATCH896358,2026-04-10,WH-CHN-01,37.69,866.87
INV-PRD0006-BR05,PRD0006,BR05,276,54,897,Cipla Ltd,BATCH219299,2026-06-20,WH-HYD-02,37.69,10402.44
INV-PRD0006-BR06,PRD0006,BR06,26,4,102,Cipla Ltd,BATCH277243,2025-10-14,WH-HYD-02,37.69,979.94
INV-PRD0006-BR07,PRD0006,BR07,204,35,684,Cipla Ltd,BATCH909092,2026-05-24,WH-CHN-01,37.69,7688.76
INV-PRD0006-BR08,PRD0006,BR08,169,27,589,Cipla Ltd,BATCH716653,2025-03-15,WH-CHN-01,37.69,6369.61
INV-PRD0007-BR01,PRD0007,BR01,347,79,1135,Cipla Ltd,BATCH569309,2025-12-22,WH-HYD-01,89.97,31219.59
INV-PRD0007-BR02,PRD0007,BR02,77,11,254,Cipla Ltd,BATCH864299,2025-10-10,WH-CHN-01,89.97,6927.69
INV-PRD0007-BR03,PRD0007,BR03,236,58,611,Cipla Ltd,BATCH727913,2026-11-06,WH-BLR-01,89.97,21232.92
INV-PRD0007-BR04,PRD0007,BR04,85,15,278,Cipla Ltd,BATCH789987,2025-04-19,WH-HYD-02,89.97,7647.45
INV-PRD0007-BR05,PRD0007,BR05,364,80,1108,Cipla Ltd,BATCH247733,2026-11-12,WH-HYD-01,89.97,32749.08
INV-PRD0007-BR06,PRD0007,BR06,6,1,16,Cipla Ltd,BATCH115424,2026-07-13,WH-BLR-01,89.97,539.82
INV-PRD0007-BR07,PRD0007,BR07,247,53,985,Cipla Ltd,BATCH491388,2026-09-17,WH-CHN-01,89.97,22222.59
INV-PRD0007-BR08,PRD0007,BR08,103,23,266,Cipla Ltd,BATCH541984,2025-04-30,WH-HYD-02,89.97,9266.91
INV-PRD0008-BR01,PRD0008,BR01,247,43,790,Cipla Ltd,BATCH727569,2026-07-12,WH-BLR-01,24.96,6165.12
INV-PRD0008-BR02,PRD0008,BR02,392,65,1558,Cipla Ltd,BATCH431327,2025-10-30,WH-HYD-01,24.96,9784.32
INV-PRD0008-BR03,PRD0008,BR03,483,91,1476,Cipla Ltd,BATCH414659,2025-03-09,WH-HYD-01,24.96,12055.68
INV-PRD0008-BR04,PRD0008,BR04,137,29,473,Cipla Ltd,BATCH673693,2026-03-28,WH-HYD-01,24.96,3419.52
INV-PRD0008-BR05,PRD0008,BR05,10,1,32,Cipla Ltd,BATCH502233,2025-12-20,WH-HYD-01,24.96,249.6
INV-PRD0008-BR06,PRD0008,BR06,429,94,1348,Cipla Ltd,BATCH582753,2025-02-04,WH-HYD-01,24.96,10707.84
INV-PRD0008-BR07,PRD0008,BR07,145,32,379,Cipla Ltd,BATCH838187,2026-04-15,WH-CHN-01,24.96,3619.2
INV-PRD0008-BR08,PRD0008,BR08,435,107,1099,Cipla Ltd,BATCH130770,2026-09-19,WH-BLR-01,24.96,10857.6
INV-PRD0009-BR01,PRD0009,BR01,218,52,862,Abbott India,BATCH373752,2026-05-27,WH-BLR-01,41.33,9009.94
INV-PRD0009-BR02,PRD0009,BR02,482,94,1544,Abbott India,BATCH917439,2025-12-06,WH-HYD-01,41.33,19921.06
INV-PRD0009-BR03,PRD0009,BR03,87,16,264,Abbott India,BATCH618364,2026-12-30,WH-CHN-01,41.33,3595.71
INV-PRD0009-BR04,PRD0009,BR04,488,104,1578,Abbott India,BATCH849840,2026-02-07,WH-HYD-01,41.33,20169.04
INV-PRD0009-BR05,PRD0009,BR05,334,78,1320,Abbott India,BATCH939942,2025-01-28,WH-BLR-01,41.33,13804.22
INV-PRD0009-BR06,PRD0009,BR06,379,77,959,Abbott India,BATCH352382,2026-12-24,WH-HYD-01,41.33,15664.07
INV-PRD0009-BR07,PRD0009,BR07,256,39,661,Abbott India,BATCH908828,2026-06-18,WH-CHN-01,41.33,10580.48
INV-PRD0009-BR08,PRD0009,BR08,382,70,1476,Abbott India,BATCH222940,2025-08-12,WH-HYD-01,41.33,15788.06
INV-PRD0010-BR01,PRD0010,BR01,483,74,1457,Sun Pharmaceuticals,BATCH950117,2025-04-17,WH-CHN-01,51.44,24845.52
INV-PRD0010-BR02,PRD0010,BR02,127,23,449,Sun Pharmaceuticals,BATCH195940,2025-06-25,WH-HYD-02,51.44,6532.88
INV-PRD0010-BR03,PRD0010,BR03,204,39,674,Sun Pharmaceuticals,BATCH474137,2026-07-17,WH-CHN-01,51.44,10493.76
INV-PRD0010-BR04,PRD0010,BR04,189,35,532,Sun Pharmaceuticals,BATCH160043,2025-04-04,WH-HYD-02,51.44,9722.16
INV-PRD0010-BR05,PRD0010,BR05,10,2,36,Sun Pharmaceuticals,BATCH613090,2025-06-08,WH-HYD-01,51.44,514.4
INV-PRD0010-BR06,PRD0010,BR06,243,55,892,Sun Pharmaceuticals,BATCH286367,2025-04-09,WH-HYD-02,51.44,12499.92
INV-PRD0010-BR07,PRD0010,BR07,475,106,1662,Sun Pharmaceuticals,BATCH670890,2026-09-27,WH-HYD-01,51.44,24434.0
INV-PRD0010-BR08,PRD0010,BR08,177,40,695,Sun Pharmaceuticals,BATCH951349,2026-11-09,WH-HYD-02,51.44,9104.88
INV-PRD0011-BR01,PRD0011,BR01,337,68,1208,Abbott India,BATCH998666,2025-07-21,WH-BLR-01,66.34,22356.58
INV-PRD0011-BR02,PRD0011,BR02,334,58,1027,Abbott India,BATCH575558,2025-09-24,WH-HYD-02,66.34,22157.56
INV-PRD0011-BR03,PRD0011,BR03,33,6,124,Abbott India,BATCH702716,2025-05-23,WH-BLR-01,66.34,2189.22
INV-PRD0011-BR04,PRD0011,BR04,371,72,1389,Abbott India,BATCH965696,2026-01-10,WH-HYD-01,66.34,24612.14
INV-PRD0011-BR05,PRD0011,BR05,129,25,474,Abbott India,BATCH167565,2026-06-15,WH-HYD-02,66.34,8557.86
INV-PRD0011-BR06,PRD0011,BR06,400,98,1512,Abbott India,BATCH304439,2025-06-26,WH-HYD-01,66.34,26536.0
INV-PRD0011-BR07,PRD0011,BR07,216,52,561,Abbott India,BATCH285206,2025-02-13,WH-HYD-01,66.34,14329.44
INV-PRD0011-BR08,PRD0011,BR08,128,26,362,Abbott India,BATCH426878,2025-05-17,WH-HYD-01,66.34,8491.52
INV-PRD0012-BR01,PRD0012,BR01,451,107,1256,Abbott India,BATCH746059,2025-08-20,WH-CHN-01,38.07,17169.57
INV-PRD0012-BR02,PRD0012,BR02,409,81,1239,Abbott India,BATCH137596,2025-07-30,WH-CHN-01,38.07,15570.63
INV-PRD0012-BR03,PRD0012,BR03,168,28,597,Abbott India,BATCH138091,2025-12-08,WH-BLR-01,38.07,6395.76
INV-PRD0012-BR04,PRD0012,BR04,206,45,677,Abbott India,BATCH871564,2025-04-04,WH-HYD-02,38.07,7842.42
INV-PRD0012-BR05,PRD0012,BR05,111,23,358,Abbott India,BATCH352683,2026-04-28,WH-HYD-02,38.07,4225.77
INV-PRD0012-BR06,PRD0012,BR06,468,98,1749,Abbott India,BATCH844758,2026-07-25,WH-HYD-02,38.07,17816.76
INV-PRD0012-BR07,PRD0012,BR07,177,44,504,Abbott India,BATCH137399,2025-09-14,WH-BLR-01,38.07,6738.39
INV-PRD0012-BR08,PRD0012,BR08,188,42,678,Abbott India,BATCH608925,2026-03-03,WH-HYD-02,38.07,7157.16
INV-PRD0013-BR01,PRD0013,BR01,132,31,408,Mankind Pharma,BATCH178242,2025-10-03,WH-BLR-01,221.08,29182.56
INV-PRD0013-BR02,PRD0013,BR02,326,56,1108,Mankind Pharma,BATCH231675,2025-07-23,WH-HYD-01,221.08,72072.08
INV-PRD0013-BR03,PRD0013,BR03,41,9,103,Mankind Pharma,BATCH157787,2025-11-13,WH-HYD-02,221.08,9064.28
INV-PRD0013-BR04,PRD0013,BR04,36,7,128,Mankind Pharma,BATCH197898,2025-01-16,WH-HYD-02,221.08,7958.88
INV-PRD0013-BR05,PRD0013,BR05,115,28,296,Mankind Pharma,BATCH453825,2026-08-01,WH-HYD-02,221.08,25424.2
INV-PRD0013-BR06,PRD0013,BR06,252,42,937,Mankind Pharma,BATCH933992,2025-04-26,WH-CHN-01,221.08,55712.16
INV-PRD0013-BR07,PRD0013,BR07,259,43,953,Mankind Pharma,BATCH603856,2026-07-05,WH-BLR-01,221.08,57259.72
INV-PRD0013-BR08,PRD0013,BR08,60,10,227,Mankind Pharma,BATCH435632,2026-10-29,WH-HYD-01,221.08,13264.8
INV-PRD0014-BR01,PRD0014,BR01,89,21,281,Sun Pharmaceuticals,BATCH412941,2026-10-10,WH-HYD-01,109.56,9750.84
INV-PRD0014-BR02,PRD0014,BR02,185,31,697,Sun Pharmaceuticals,BATCH478095,2026-09-07,WH-HYD-01,109.56,20268.6
INV-PRD0014-BR03,PRD0014,BR03,121,20,449,Sun Pharmaceuticals,BATCH644751,2025-09-06,WH-HYD-02,109.56,13256.76
INV-PRD0014-BR04,PRD0014,BR04,332,55,1291,Sun Pharmaceuticals,BATCH480342,2026-07-20,WH-HYD-01,109.56,36373.92
INV-PRD0014-BR05,PRD0014,BR05,301,68,1040,Sun Pharmaceuticals,BATCH488149,2026-11-21,WH-BLR-01,109.56,32977.56
INV-PRD0014-BR06,PRD0014,BR06,88,15,242,Sun Pharmaceuticals,BATCH878976,2025-08-27,WH-BLR-01,109.56,9641.28
INV-PRD0014-BR07,PRD0014,BR07,45,8,140,Sun Pharmaceuticals,BATCH626389,2026-02-20,WH-HYD-01,109.56,4930.2
INV-PRD0014-BR08,PRD0014,BR08,121,21,313,Sun Pharmaceuticals,BATCH323985,2025-03-30,WH-HYD-02,109.56,13256.76
INV-PRD0015-BR01,PRD0015,BR01,258,59,685,Mankind Pharma,BATCH210268,2025-10-10,WH-HYD-01,217.96,56233.68
INV-PRD0015-BR02,PRD0015,BR02,306,54,941,Mankind Pharma,BATCH217536,2025-04-09,WH-CHN-01,217.96,66695.76
INV-PRD0015-BR03,PRD0015,BR03,348,73,1230,Mankind Pharma,BATCH225812,2025-02-02,WH-HYD-02,217.96,75850.08
INV-PRD0015-BR04,PRD0015,BR04,101,22,334,Mankind Pharma,BATCH764794,2025-03-24,WH-BLR-01,217.96,22013.96
INV-PRD0015-BR05,PRD0015,BR05,18,3,46,Mankind Pharma,BATCH510467,2025-10-23,WH-HYD-02,217.96,3923.28
INV-PRD0015-BR06,PRD0015,BR06,164,39,454,Mankind Pharma,BATCH397558,2026-11-18,WH-HYD-02,217.96,35745.44
INV-PRD0015-BR07,PRD0015,BR07,108,23,422,Mankind Pharma,BATCH545619,2025-01-30,WH-CHN-01,217.96,23539.68
INV-PRD0015-BR08,PRD0015,BR08,348,59,1270,Mankind Pharma,BATCH369579,2026-01-02,WH-CHN-01,217.96,75850.08
INV-PRD0016-BR01,PRD0016,BR01,1,0,2,Lupin Pharma,BATCH921029,2026-07-16,WH-BLR-01,232.63,232.63
INV-PRD0016-BR02,PRD0016,BR02,63,13,170,Lupin Pharma,BATCH888613,2026-07-12,WH-BLR-01,232.63,14655.69
INV-PRD0016-BR03,PRD0016,BR03,264,47,942,Lupin Pharma,BATCH857682,2025-02-16,WH-CHN-01,232.63,61414.32
INV-PRD0016-BR04,PRD0016,BR04,355,75,1394,Lupin Pharma,BATCH453491,2025-11-11,WH-HYD-02,232.63,82583.65
INV-PRD0016-BR05,PRD0016,BR05,89,13,266,Lupin Pharma,BATCH708664,2025-08-30,WH-BLR-01,232.63,20704.07
INV-PRD0016-BR06,PRD0016,BR06,360,81,1087,Lupin Pharma,BATCH252198,2026-01-26,WH-HYD-01,232.63,83746.8
INV-PRD0016-BR07,PRD0016,BR07,150,28,547,Lupin Pharma,BATCH593324,2026-06-06,WH-HYD-02,232.63,34894.5
INV-PRD0016-BR08,PRD0016,BR08,5,0,14,Lupin Pharma,BATCH950867,2025-08-09,WH-CHN-01,232.63,1163.15
INV-PRD0017-BR01,PRD0017,BR01,365,84,1377,Sun Pharmaceuticals,BATCH532884,2026-04-15,WH-HYD-01,67.87,24772.55
INV-PRD0017-BR02,PRD0017,BR02,357,60,1027,Sun Pharmaceuticals,BATCH646001,2025-04-13,WH-HYD-02,67.87,24229.59
INV-PRD0017-BR03,PRD0017,BR03,356,58,1050,Sun Pharmaceuticals,BATCH646849,2025-04-30,WH-HYD-01,67.87,24161.72
INV-PRD0017-BR04,PRD0017,BR04,213,46,678,Sun Pharmaceuticals,BATCH411560,2026-12-07,WH-CHN-01,67.87,14456.31
INV-PRD0017-BR05,PRD0017,BR05,0,0,0,Sun Pharmaceuticals,BATCH106323,2025-07-11,WH-CHN-01,67.87,0.0
INV-PRD0017-BR06,PRD0017,BR06,20,3,51,Sun Pharmaceuticals,BATCH922452,2026-01-31,WH-CHN-01,67.87,1357.4
INV-PRD0017-BR07,PRD0017,BR07,65,14,252,Sun Pharmaceuticals,BATCH278047,2025-06-28,WH-BLR-01,67.87,4411.55
INV-PRD0017-BR08,PRD0017,BR08,144,29,548,Sun Pharmaceuticals,BATCH790402,2025-07-13,WH-HYD-01,67.87,9773.28
INV-PRD0018-BR01,PRD0018,BR01,190,41,695,Sun Pharmaceuticals,BATCH541724,2026-08-19,WH-HYD-02,427.42,81209.8
INV-PRD0018-BR02,PRD0018,BR02,290,67,868,Sun Pharmaceuticals,BATCH463256,2025-03-06,WH-BLR-01,427.42,123951.8
INV-PRD0018-BR03,PRD0018,BR03,314,66,993,Sun Pharmaceuticals,BATCH811948,2025-10-07,WH-HYD-01,427.42,134209.88
INV-PRD0018-BR04,PRD0018,BR04,145,24,528,Sun Pharmaceuticals,BATCH743887,2026-08-18,WH-HYD-01,427.42,61975.9
INV-PRD0018-BR05,PRD0018,BR05,203,48,621,Sun Pharmaceuticals,BATCH272724,2025-08-16,WH-HYD-01,427.42,86766.26
INV-PRD0018-BR06,PRD0018,BR06,282,46,716,Sun Pharmaceuticals,BATCH891824,2026-04-19,WH-CHN-01,427.42,120532.44
INV-PRD0018-BR07,PRD0018,BR07,214,42,601,Sun Pharmaceuticals,BATCH897798,2025-05-23,WH-HYD-02,427.42,91467.88
INV-PRD0018-BR08,PRD0018,BR08,67,14,196,Sun Pharmaceuticals,BATCH214387,2025-02-27,WH-HYD-02,427.42,28637.14
INV-PRD0019-BR01,PRD0019,BR01,296,57,741,Sun Pharmaceuticals,BATCH505236,2025-10-13,WH-BLR-01,129.35,38287.6
INV-PRD0019-BR02,PRD0019,BR02,207,48,804,Sun Pharmaceuticals,BATCH372329,2025-12-02,WH-CHN-01,129.35,26775.45
INV-PRD0019-BR03,PRD0019,BR03,79,18,260,Sun Pharmaceuticals,BATCH277810,2026-07-15,WH-BLR-01,129.35,10218.65
INV-PRD0019-BR04,PRD0019,BR04,137,26,519,Sun Pharmaceuticals,BATCH160784,2025-08-12,WH-HYD-01,129.35,17720.95
INV-PRD0019-BR05,PRD0019,BR05,328,50,1026,Sun Pharmaceuticals,BATCH932878,2026-05-07,WH-HYD-02,129.35,42426.8
INV-PRD0019-BR06,PRD0019,BR06,369,86,1040,Sun Pharmaceuticals,BATCH707074,2026-10-25,WH-HYD-02,129.35,47730.15
INV-PRD0019-BR07,PRD0019,BR07,365,57,1354,Sun Pharmaceuticals,BATCH251261,2025-06-01,WH-BLR-01,129.35,47212.75
INV-PRD0019-BR08,PRD0019,BR08,47,7,167,Sun Pharmaceuticals,BATCH349998,2026-05-09,WH-HYD-02,129.35,6079.45
INV-PRD0020-BR01,PRD0020,BR01,27,5,102,Cipla Ltd,BATCH111751,2026-03-14,WH-HYD-02,281.75,7607.25
INV-PRD0020-BR02,PRD0020,BR02,2,0,7,Cipla Ltd,BATCH973338,2025-01-28,WH-HYD-01,281.75,563.5
INV-PRD0020-BR03,PRD0020,BR03,61,13,176,Cipla Ltd,BATCH930111,2025-01-24,WH-HYD-01,281.75,17186.75
INV-PRD0020-BR04,PRD0020,BR04,300,71,804,Cipla Ltd,BATCH948635,2026-04-16,WH-HYD-01,281.75,84525.0
INV-PRD0020-BR05,PRD0020,BR05,272,46,705,Cipla Ltd,BATCH612739,2026-08-10,WH-HYD-02,281.75,76636.0
INV-PRD0020-BR06,PRD0020,BR06,33,5,119,Cipla Ltd,BATCH338023,2026-01-28,WH-BLR-01,281.75,9297.75
INV-PRD0020-BR07,PRD0020,BR07,81,15,265,Cipla Ltd,BATCH597818,2025-11-07,WH-CHN-01,281.75,22821.75
INV-PRD0020-BR08,PRD0020,BR08,125,24,461,Cipla Ltd,BATCH822081,2026-12-23,WH-HYD-01,281.75,35218.75
INV-PRD0021-BR01,PRD0021,BR01,9,1,34,Cipla Ltd,BATCH113318,2026-06-18,WH-CHN-01,143.48,1291.32
INV-PRD0021-BR02,PRD0021,BR02,202,50,523,Cipla Ltd,BATCH731113,2025-03-09,WH-BLR-01,143.48,28982.96
INV-PRD0021-BR03,PRD0021,BR03,296,54,919,Cipla Ltd,BATCH840991,2026-06-28,WH-BLR-01,143.48,42470.08
INV-PRD0021-BR04,PRD0021,BR04,328,75,1226,Cipla Ltd,BATCH222009,2025-11-10,WH-BLR-01,143.48,47061.44
INV-PRD0021-BR05,PRD0021,BR05,129,30,473,Cipla Ltd,BATCH593695,2025-11-19,WH-HYD-02,143.48,18508.92
INV-PRD0021-BR06,PRD0021,BR06,344,82,1314,Cipla Ltd,BATCH222102,2026-05-06,WH-BLR-01,143.48,49357.12
INV-PRD0021-BR07,PRD0021,BR07,111,22,356,Cipla Ltd,BATCH619400,2025-10-08,WH-CHN-01,143.48,15926.28
INV-PRD0021-BR08,PRD0021,BR08,348,83,1026,Cipla Ltd,BATCH271441,2025-11-23,WH-CHN-01,143.48,49931.04
INV-PRD0022-BR01,PRD0022,BR01,332,50,1203,Mankind Pharma,BATCH272034,2026-04-27,WH-CHN-01,90.27,29969.64
INV-PRD0022-BR02,PRD0022,BR02,209,39,828,Mankind Pharma,BATCH612782,2025-08-14,WH-HYD-01,90.27,18866.43
INV-PRD0022-BR03,PRD0022,BR03,297,55,862,Mankind Pharma,BATCH799165,2026-10-20,WH-HYD-01,90.27,26810.19
INV-PRD0022-BR04,PRD0022,BR04,307,64,1160,Mankind Pharma,BATCH816426,2026-06-14,WH-HYD-01,90.27,27712.89
INV-PRD0022-BR05,PRD0022,BR05,193,31,744,Mankind Pharma,BATCH300480,2026-06-07,WH-HYD-01,90.27,17422.11
INV-PRD0022-BR06,PRD0022,BR06,189,32,647,Mankind Pharma,BATCH997502,2026-11-30,WH-HYD-02,90.27,17061.03
INV-PRD0022-BR07,PRD0022,BR07,308,60,974,Mankind Pharma,BATCH503335,2026-08-16,WH-HYD-01,90.27,27803.16
INV-PRD0022-BR08,PRD0022,BR08,362,89,993,Mankind Pharma,BATCH471429,2025-03-12,WH-HYD-01,90.27,32677.74
INV-PRD0023-BR01,PRD0023,BR01,334,74,1283,Mankind Pharma,BATCH267921,2025-02-06,WH-BLR-01,254.94,85149.96
INV-PRD0023-BR02,PRD0023,BR02,269,58,862,Mankind Pharma,BATCH885753,2026-08-08,WH-HYD-02,254.94,68578.86
INV-PRD0023-BR03,PRD0023,BR03,305,65,793,Mankind Pharma,BATCH361497,2026-08-25,WH-HYD-01,254.94,77756.7
INV-PRD0023-BR04,PRD0023,BR04,199,37,778,Mankind Pharma,BATCH375559,2025-05-09,WH-HYD-02,254.94,50733.06
INV-PRD0023-BR05,PRD0023,BR05,287,54,890,Mankind Pharma,BATCH806703,2025-07-06,WH-CHN-01,254.94,73167.78
INV-PRD0023-BR06,PRD0023,BR06,172,35,478,Mankind Pharma,BATCH249829,2025-11-10,WH-CHN-01,254.94,43849.68
INV-PRD0023-BR07,PRD0023,BR07,360,60,964,Mankind Pharma,BATCH583672,2025-05-26,WH-CHN-01,254.94,91778.4
INV-PRD0023-BR08,PRD0023,BR08,145,31,457,Mankind Pharma,BATCH367741,2026-04-15,WH-CHN-01,254.94,36966.3
INV-PRD0024-BR01,PRD0024,BR01,322,64,928,Sun Pharmaceuticals,BATCH427193,2026-06-26,WH-HYD-01,282.9,91093.8
INV-PRD0024-BR02,PRD0024,BR02,257,47,800,Sun Pharmaceuticals,BATCH932046,2026-06-28,WH-CHN-01,282.9,72705.3
INV-PRD0024-BR03,PRD0024,BR03,228,38,655,Sun Pharmaceuticals,BATCH783574,2025-07-09,WH-HYD-01,282.9,64501.2
INV-PRD0024-BR04,PRD0024,BR04,369,72,946,Sun Pharmaceuticals,BATCH721232,2025-12-30,WH-HYD-02,282.9,104390.1
INV-PRD0024-BR05,PRD0024,BR05,21,5,78,Sun Pharmaceuticals,BATCH768035,2025-07-28,WH-HYD-01,282.9,5940.9
INV-PRD0024-BR06,PRD0024,BR06,96,16,360,Sun Pharmaceuticals,BATCH381578,2025-12-24,WH-HYD-02,282.9,27158.4
INV-PRD0024-BR07,PRD0024,BR07,59,11,233,Sun Pharmaceuticals,BATCH412699,2026-03-05,WH-BLR-01,282.9,16691.1
INV-PRD0024-BR08,PRD0024,BR08,313,55,817,Sun Pharmaceuticals,BATCH491666,2026-07-27,WH-CHN-01,282.9,88547.7
INV-PRD0025-BR01,PRD0025,BR01,335,51,877,Mankind Pharma,BATCH810750,2026-01-25,WH-BLR-01,407.7,136579.5
INV-PRD0025-BR02,PRD0025,BR02,161,29,456,Mankind Pharma,BATCH236167,2026-12-10,WH-BLR-01,407.7,65639.7
INV-PRD0025-BR03,PRD0025,BR03,31,5,91,Mankind Pharma,BATCH652451,2025-07-04,WH-HYD-02,407.7,12638.7
